"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"14_SAT_LIFE_7","7","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",1647,,
"14_SAT_LIFE_8","8","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",1409,,
"14_SAT_LIFE_5","5","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",56,,
"14_SAT_LIFE_6","6","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",1228,,
"14_SAT_LIFE_10","10","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",602,,
"14_SAT_LIFE_5","5","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",427,,
"14_SAT_LIFE_10","10","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",521,,
"14_SAT_LIFE_5","5","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2022","2022",89,,
"14_SAT_LIFE_7","7","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",1182,,
"14_SAT_LIFE_5","5","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",387,,
"14_SAT_LIFE_6","6","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",892,,
"14_SAT_LIFE_7","7","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",1087,,
"14_SAT_LIFE_7","7","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",1794,,
"14_SAT_LIFE_9","9","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",155,,
"14_SAT_LIFE_10","10","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2022","2022",225,,
"14_SAT_LIFE_9","9","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","2022","2022",5217,,
"14_SAT_LIFE_10","10","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",431,,
"14_SAT_LIFE_6","6","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",375,,
"14_SAT_LIFE_0","0","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",17,,
"14_SAT_LIFE_1","1","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",7,,
"14_SAT_LIFE_0","0","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",31,,
"14_SAT_LIFE_1","1","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",24,,
"14_SAT_LIFE_1","1","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",26,,
"14_SAT_LIFE_0","0","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",82,,
"14_SAT_LIFE_0","0","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",28,,
